,tic_id,RA,Dec,Tmag,Period,Epoc,Transit_Depth,Duration,Sectors,Camera,CCD,star_rad,star_mass,teff,logg,SN,Qingress
18909,136391122,305.630801567,37.1339437745,12.6789,0.434044,1684.003122,0.01647,0.07400016156,15,1,2,8.94767,,8357.0,,22.60346,0.01489
18934,136392568,305.685696655,37.257362368,11.5338,9.118855,1684.46745,0.03504,0.114897573,15,1,2,1.56424,1.395,6639.0,4.19404,22.0435,0.49872
18943,136392875,305.62045226,37.2922783996,12.3073,0.407655,1684.06201,0.00333,0.060797666699999996,15,1,2,13.284,,5100.0,,15.37299,0.07677
18944,136392882,305.681626668,37.2951197564,9.3946,0.407655,1684.053087,0.00389,0.07370402399999999,15,1,2,,,,,14.70157,0.01727
18960,136394105,305.575976271,37.4569290225,13.4455,4.18719,1687.89232,0.07159,0.4412460822,15,1,2,12.2043,,5480.0,,40.81689,0.35571
18962,136394216,305.600126249,37.4627197323,11.7748,4.189231,1687.881152,0.06172,0.43831923953,15,1,2,,,,,42.01456,0.33941
19000,136396504,305.710293949,37.8626349188,12.3077,0.465989,1683.936134,0.0012,0.05155702296,15,1,2,13.448,,4649.0,,10.39527,0.19446
19001,136396529,305.650094384,37.8672648252,12.6548,0.465989,1683.772336,0.00982,0.07124505821,15,1,2,6.54319,,8706.0,,27.76379,0.43603
19002,136396562,305.69706708,37.8791011716,12.2265,0.310433,1683.948498,0.00873,0.05433508799,15,1,2,1.08615,1.04,5784.0,4.38332,21.21914,0.07305
19003,136396621,305.671641497,37.8793167518,12.8586,0.465989,1683.928614,0.01368,0.07339792739,15,1,2,1.65576,2.06,8344.0,4.31394,24.57255,0.47083
19012,136397238,305.578231289,37.9248665938,11.5641,0.648628,1684.021414,0.01147,0.13794371676,15,1,2,10.2869,,4870.47,,12.62619,-0.00013
19013,136397275,305.595268922,37.9396038196,10.4514,0.648628,1684.023085,0.01284,0.14031120896000002,15,1,2,2.00982,2.32,9169.0,4.19724,17.07855,-0.02414
19015,136397312,305.567212129,37.9413218369,11.892,0.648628,1684.034819,0.00161,0.116915197,15,1,2,19.3616,,4539.0,,13.49439,-0.17672
19050,136398576,305.583157865,38.2107386604,12.7361,2.842378,1684.844474,0.0169,0.06975195612,15,1,2,5.68329,,10372.0,,12.77397,0.15654
19052,136398702,305.655568623,38.2161777005,12.7045,2.843072,1684.839547,0.03285,0.06942781824,15,1,2,4.34126,1.62,7227.0,3.37235,16.44104,0.19656
19060,136398924,305.683077552,38.2545493873,11.9751,1.830572,1685.083039,0.00247,0.10890072828000001,15,1,2,1.77615,1.05,5845.0,3.9603,10.72231,0.18398
